Num.	| Date/time		| Temperature	| Precipitation (mm)
--------------------------------------------------------------------
1	| 2026-06-03T00:00	| 7.3		| 0.0
2	| 2026-06-03T01:00	| 6.5		| 0.0
3	| 2026-06-03T02:00	| 5.8		| 0.0
4	| 2026-06-03T03:00	| 5.2		| 0.0
5	| 2026-06-03T04:00	| 4.8		| 0.0
6	| 2026-06-03T05:00	| 5.8		| 0.0
7	| 2026-06-03T06:00	| 9.0		| 0.0
8	| 2026-06-03T07:00	| 12.0		| 0.0
9	| 2026-06-03T08:00	| 14.0		| 0.0
10	| 2026-06-03T09:00	| 15.4		| 0.0
11	| 2026-06-03T10:00	| 16.7		| 0.0
12	| 2026-06-03T11:00	| 17.8		| 0.0
13	| 2026-06-03T12:00	| 19.1		| 0.0
14	| 2026-06-03T13:00	| 19.7		| 0.0
15	| 2026-06-03T14:00	| 19.7		| 0.0
16	| 2026-06-03T15:00	| 19.8		| 0.0
17	| 2026-06-03T16:00	| 19.8		| 0.0
18	| 2026-06-03T17:00	| 19.6		| 0.0
19	| 2026-06-03T18:00	| 19.0		| 0.0
20	| 2026-06-03T19:00	| 18.2		| 0.0
21	| 2026-06-03T20:00	| 16.7		| 0.0
22	| 2026-06-03T21:00	| 14.9		| 0.0
23	| 2026-06-03T22:00	| 13.5		| 0.0
24	| 2026-06-03T23:00	| 12.6		| 0.0
